preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
ARAP2,ATG16L1,ANKRD26P3,AK1,AKTIP,ARHGEF18,ANKK1,ALAS2
ARCN1,ATG2A,ANKRD28,AK3,ALAS1,ARHGEF25,ANKMY2,ALCAM
ARFGAP3,ATG9A,ANKRD30BP2,AKAP7,ALB,ARHGEF5,ANKRD1,ALDH16A1
ARFGEF2,ATP10A,ANKRD55,AKIRIN1,ALDH18A1,ARHGEF6,ANKRD18B,ALDH1A3
ARFIP1,ATP11AUN,ANKRD61,AKNA,ALDH1L1-AS2,ARID4B,ANKRD22,ALDH1B1
ARHGAP10,ATP1B2,ANKRD9,AKR1A1,ALDH3A1,ARIH2OS,ANKRD23,ALDH1L2
ARHGAP15,ATP2B1-AS1,ANO9,AKR1C1,ALDH3B1,ARL4D,ANKRD30B,ALDH3A2
ARHGAP17,ATP5IF1,ANP32A-IT1,AKR1C2,ALDH3B2,ARL6IP1,ANKRD34B,ALDH4A1
ARHGAP18,ATP5MF-PTCD1,ANP32AP1,AKR1D1,ALDH5A1,ARL8B,ANKRD55,ALDH7A1
ARHGAP19,ATP5MPL,ANP32B,ALB,ALG1L2,ARMC5,ANKRD61,ALDH9A1
ARHGAP19-SLIT1,ATP8A2,ANPEP,ALCAM,ALK,ARMC7,ANKRD62,ALDOA
ARHGAP20,ATP8B1,ANXA11,ALDH18A1,ALKBH1,ARPC4-TTLL3,ANKRD9,ALDOC
ARHGAP26,ATP8B3,ANXA2,ALDH1A3,ALKBH3-AS1,ARPC5L,ANKUB1,ALG1
ARHGAP26-AS1,ATP8B5P,ANXA2P2,ALDH1B1,ALLC,ARR3,ANO1,ALG10
ARHGAP29,ATP9B,ANXA2R,ALDH1L2,ALMS1,ARRDC2,ANP32A,ALG10B
ARHGAP32,ATRIP,ANXA8L1,ALDH2,ALMS1-IT1,ART3,ANP32B,ALG3
ARHGAP33,ATXN3,AOC3,ALDH3A1,ALOX12P2,ASB7,ANPEP,ALG6
ARHGAP39,AVPI1,AP1AR,ALDH3A2,ALOX15,ASCC2,ANTXR2,ALKAL2
ARHGAP44,AVPR1B,AP1B1,ALDH7A1,ALOX5AP,ASCL1,ANTXRL,ALKBH4
ARHGAP45,B4GALNT1,AP2S1,ALDOA,ALOXE3,ASDURF,ANXA2P1,ALKBH6
ARHGEF12,B4GALNT2,AP3D1,ALDOC,AMBRA1,ASH1L,ANXA2P2,ALKBH7
ARHGEF16,BAG4,AP4E1,ALG1,AMELX,ASH1L-AS1,ANXA2P3,ALPK2
ARHGEF26,BAG5,AP5B1,ALG10,AMER3,ASNA1,ANXA4,ALPK3
ARHGEF26-AS1,BAGE,AP5M1,ALG12,AMFR,ASNSP1,ANXA9,ALS2CL
ARHGEF28,BAGE4,AP5Z1,ALG1L,AMMECR1L,ASXL1,AOC1,ALX1
ARHGEF3,BAGE5,APBB1IP,ALG3,AMN,ASXL2,AOC3,AMELY
ARHGEF6,BAIAP2L2,APBB3,ALG5,AMOT,ATE1-AS1,AOPEP,AMER1
ARHGEF7,BARX1,APLNR,ALG8,AMPD1,ATF1,AP1AR,AMH
ARID1A,BATF3,APLP2,ALG9,AMPD2,ATF3,AP3S1,AMIGO3
ARID2,BBIP1,APOA1,ALKAL2,AMPD3,ATG101,AP4B1-AS1,AMMECR1
ARID4A,BCDIN3D,APOA1-AS,ALKBH3-AS1,AMPH,ATG12,AP5B1,AMT
ARIH1,BCDIN3D-AS1,APOA2,ALKBH4,AMTN,ATG13,AP5M1,AMZ2
ARL1,BCL2L11,APOA4,ALKBH6,AMZ1,ATG14,AP5S1,AMZ2P1
ARL13B,BCO2,APOA5,ALOX15P1,ANAPC1,ATG16L1,APELA,ANAPC13
ARL4C,BCOR,APOB,ALPK3,ANAPC10,ATG2A,APLF,ANAPC16
ARLNC1,BECN2,APOBEC2,ALX1,ANAPC11,ATG4D,APLNR,ANG
ARMC1,BIK,APOBEC3D,ALX3,ANAPC4,ATG5,APOA1,ANGEL2
ARMC2,BIRC3,APOBEC3F,AMACR,ANAPC7,ATG9A,APOA2,ANGPTL1
ARMC8,BLOC1S6,APOBEC4,AMDHD2,ANGPTL5,ATG9B,APOA4,ANGPTL2
ARMC9,BLZF1,APOC1,AMER1,ANK3,ATOH1,APOBEC1,ANGPTL3
ARMH1,BMP4,APOC1P1,AMIGO3,ANKAR,ATOH7,APOBEC2,ANGPTL6
ARMS2,BMP5,APOC2,AMT,ANKDD1A,ATP10A,APOBEC3B-AS1,ANK2
ARNTL,BMS1P20,APOC3,AMY2B,ANKFN1,ATP1B2,APOBEC3D,ANKEF1
ARPC4-TTLL3,BMS1P21,APOD,AMZ2,ANKMY1,ATP2A3,APOBEC3H,ANKFY1
ARPP21,BNIP2,APOE,AMZ2P1,ANKRA2,ATP2B1-AS1,APOBEC4,ANKHD1-EIF4EBP3
ARSG,BOLA2B,APOF,ANAPC11,ANKRD10,ATP4B,APOC1,ANKLE1
ARV1,BOLA2B.1,APOL1,ANAPC13,ANKRD13A,ATP8B1,APOC1P1,ANKRD11
ASAH1,BOLL,APOL3,ANAPC16,ANKRD13B,ATP8B3,APOC2,ANKRD18A
ASAP1,BORA,APOL6,ANAPC5,ANKRD17,ATP8B5P,APOC3,ANKRD18CP
ASAP1-IT2,BORCS6,APOOL,ANAPC7,ANKRD20A11P,AVPI1,APOD,ANKRD24
ASB5,BRAP,APPL1,ANG,ANKRD20A19P,AZI2,APOF,ANKRD26P3
ASB8,BRDT,AQP1,ANGEL2,ANKRD20A4,AZIN1,APOL1,ANKRD28
ASF1B,BRIX1,AQP11,ANGPTL2,ANKRD20A8P,B4GALNT2,APOL4,ANKRD29
ASPH,BRWD3,AQP2,ANK1,ANKRD26,BAAT,APOL5,ANKRD33B
ASPM,BTAF1,AQP3,ANK2,ANKRD26P1,BAG4,APOLD1,ANKRD36
ASTL,BTBD7,AQP7,ANKDD1A,ANKRD27,BAG5,APOOL,ANKRD36BP1
ASXL1,BTG1,AQP7P1,ANKRD13D,ANKRD30A,BAGE2,AQP3,ANKRD36C
ASZ1,BTK,AQP8,ANKRD16,ANKRD30BL,BAGE4,ARHGAP21,ANKS3
ATAD1,BTLA,AQP9,ANKRD18A,ANKRD30BP2,BAGE5,ARHGAP25,ANO9
ATAD2,BTN1A1,ARAF,ANKRD18B,ANKRD31,BAIAP2-DT,ARHGAP27,ANOS1
ATAD5,BTNL3,ARF1,ANKRD18CP,ANKRD33,BAK1,ARHGAP27P1,ANP32C
ATE1,BUB3,ARFGAP1,ANKRD29,ANKRD34C,BAP1,ARHGAP30,ANP32E
ATF2,BUD31,ARFGAP2,ANKRD33B,ANKRD34C-AS1,BARX1,ARHGAP42,ANTXR1
ATF6,BVES-AS1,ARFGEF1,ANKRD36B,ANKRD42,BBIP1,ARHGAP5,ANXA1
ATF7IP2,BYSL,ARGFXP2,ANKRD39,ANKRD44,BCDIN3D,ARHGAP8,ANXA2
ATG2B,BZW1,ARHGAP24,ANKRD40,ANKRD45,BCL2L11,ARHGDIB,ANXA3
ATG4A,C10orf105,ARHGAP27P1,ANKRD52,ANKRD46,BCL2L2,ARHGEF11,ANXA5
ATL3,C11orf45,ARHGAP27P1-BPTFP1-KPNA2P3,ANKRD65,ANKRD53,BCO2,ARHGEF15,ANXA6
ATP10B,C11orf71,ARHGAP36,ANKS3,ANKRD6,BCOR,ARHGEF38,AP1B1
ATP10D,C11orf72,ARHGAP42,ANKS6,ANKRD60,BCS1L,ARHGEF39,AP1G2
ATP11B,C11orf98,ARHGAP8,ANO2,ANKRD63,BDP1,ARHGEF7-AS2,AP1S2
ATP13A3,C12orf43,ARHGEF15,ANOS1,ANKRD66,BECN2,ARID3A,AP1S3
ATP13A4,C12orf49,ARHGEF18,ANP32A,ANKS1A,BFSP2-AS1,ARID3C,AP2A1
ATP1A1,C12orf60,ARID3A,ANP32E,ANKS1B,BHLHA9,ARID5B,AP2A2
ATP2B1,C14orf119,ARIH2,ANTXR1,ANKS6,BHMG1,ARIH2,AP2M1
ATP2B2,C15orf41,ARL10,ANTXR2,ANLN,BIK,ARL11,AP2S1
ATP2B4,C15orf65,ARL15,ANXA1,ANO3,BIRC3,ARL13A,AP3D1
ATP2C2,C16orf91,ARL8A,ANXA3,ANO5,BLOC1S6,ARL14,AP3M1
ATP6AP1L,C17orf67,ARMC7,ANXA4,ANO6,BLZF1,ARL14EPL,AP4S1
ATP6V1B2,C17orf80,ARMT1,ANXA5,ANO8,BMP4,ARL15,AP5Z1
ATP6V1G2-DDX39B,C17orf98,ARPIN-AP3S2,ANXA6,ANP32A-IT1,BMP8B,ARL5A,APBB1
ATP7A,C18orf21,ARRB1,ANXA9,ANXA10,BMS1P21,ARL5C,APCDD1L
ATP8A1,C18orf25,ARRDC3,AP1G2,ANXA2R,BMS1P4-AGAP5,ARMC3,APEH
ATP8B4,C19orf18,ARRDC3-AS1,AP1S1,AOX3P-AOX2P,BMX,ARMH2,APEX1
ATP9A,C19orf53,ARRDC4,AP1S2,AP1M2,BNIP2,ARMH3,APH1B
ATR,C19orf73,ARSE,AP2A1,APBA1,BOD1L1,ARMT1,APLN
ATRN,C1D,ART4,AP2M1,APBA2,BOLA1,ARNT,APLP1
ATXN1,C1GALT1,ARVCF,AP3M1,APBB2,BORA,ARPC2,APOA5
ATXN1L,C1GALT1C1L,ARX,AP3S2,APC,BORCS6,ARRDC3,APOB
ATXN2,C1orf100,ASAP1-IT1,AP4M1,APCDD1,BPIFA2,ARRDC4,APOBEC3B
ATXN2L,C1orf112,ASB16,AP4S1,APCS,BRAP,ARRDC5,APOBEC3C
ATXN7L2,C1orf140,ASB6,APBA3,APEX2,BRD4,ARSE,APOBEC3F
AURKA,C1orf141,ASH2L,APBB1,APH1A,BRD7P3,ARSF,APOE
AURKC,C1orf162,ASIC3,APCDD1,API5,BRD8,ARSI,APOL2
AZI2,C1orf194,ASIC4,APEH,APIP,BRDT,ART1,APOPT1
AZIN2,C1orf232,ASNSD1,APELA,APOA1-AS,BRF1,ART4,APP
B3GALNT1,C1orf52,ASPA,APEX1,APOBEC3G,BRF2,ARTN,APPL1
B3GAT2,C1QL3,ASPG,APEX2,APOL3,BRIX1,AS-PTPRE,APRT
B3GNT2,C21orf62-AS1,ASPN,APH1B,APPBP2,BROX,ASAP1-IT1,AQP2
B3GNT3,C21orf91,ASPRV1,APIP,APPL2,BRS3,ASB12,AQP4
B4GALNT3,C2CD2L,ASRGL1,APLF,AQP5,BSG,ASB14,AR
B4GALT6,C2orf16,ATAD3A,APMAP,AQP7,BST1,ASB17,ARAF
BACH1,C2orf48,ATAD3B,APOBEC3A_B,AQP7P1,BSX,ASB4,ARAP1
BACH2,C2orf49,ATF3,APOBEC3B,AQR,BTAF1,ASB9P1,ARAP1-AS2
BAIAP2,C2orf69,ATF5,APOBEC3B-AS1,ARAP2,BTBD18,ASCL2,ARAP3
BANK1,C3,ATF6B,APOBEC3C,AREL1,BTBD6,ASCL3,ARC
BARD1,C3AR1,ATG10,APOL2,ARFGEF2,BTBD7,ASCL4,ARF4
BATF2,C4orf46,ATG3,APOM,ARFGEF3,BTG1,ASCL5,ARFGAP1
BAZ1A,C5orf66-AS1,ATG5,APP,ARFIP1,BTG3,ASH2L,ARFGAP2
BAZ1B,C5orf67,ATG9B,APRT,ARG1,BTK,ASIC3,ARFGEF1
BAZ2A,C6orf120,ATP11A,APTX,ARHGAP10,BTN1A1,ASIC4,ARFIP2
BBOF1,C6orf226,ATP11A-AS1,AQP4,ARHGAP12,BUD31,ASNSD1,ARFRP1
BBS9,C6orf48,ATP11C,AQP5,ARHGAP15,BYSL,ASPA,ARHGAP11A-SCG5
BCAR4,C6orf58,ATP12A,AR,ARHGAP17,BZW1,ASRGL1,ARHGAP22
BCAS1,C8orf33,ATP1A1-AS1,ARAP1,ARHGAP18,BZW2,ASTE1,ARHGAP23
BCAS3,C8orf89,ATP1A4,ARAP3,ARHGAP19,C10orf55,ATAD3A,ARHGAP27P2
BCL10,C9,ATP1B4,ARC,ARHGAP19-SLIT1,C10orf88,ATAD3B,ARHGAP28
BCL11B,C9orf135-DT,ATP2B2-IT2,ARF4,ARHGAP20,C10orf99,ATF4,ARHGAP31
BCL2L10,C9orf64,ATP2C2-AS1,ARF5,ARHGAP29,C11orf21,ATF5,ARHGAP35
BCL6B,C9orf66,ATP4A,ARFIP2,ARHGAP32,C11orf72,ATG10,ARHGAP4
BCL7A,C9orf85,ATP5F1C,ARFRP1,ARHGAP33,C11orf86,ATG3,ARHGAP5-AS1
