preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
PLAAT3,SNRNP27,NKAPL,LOC101929579,LINC01209,PTPN22,OR52L1,LOC102724708
PLAAT5,SNRNP35,NLRP2B,LOC101929657,LINC01235,PTPN7,OR52N1,LOC102724760
PLAC1,SNRNP48,NLRP3,LOC101929709,LINC01249,PTPRC,OR52N4,LOC102724770
PLAG1,SNRPA1,NLRP7,LOC101929718,LINC01250,PTPRJ,OR52N5,LOC102724788
PLAGL1,SNRPB2,NMBR,LOC101929798,LINC01258,PTPRVP,OR52W1,LOC102725021
PLAGL2,SNRPC,NME2,LOC101930085,LINC01270,PTRH2,OR56A1,LOC102725254
PLB1,SNRPD1,NME6,LOC102606465,LINC01277,PUF60,OR56A3,LOC103344931
PLCG2,SNRPD2P2,NMI,LOC102723345,LINC01287,PUM2,OR56A4,LOC105274304
PLCH1,SNRPD3,NMRAL2P,LOC102723493,LINC01290,PUM3,OR5A2,LOC105369209
PLCL1,SNU13,NMUR1,LOC102724094,LINC01291,PURA,OR5AC2,LOC105369306
PLD1,SNUPN,NNMT,LOC102724135,LINC01299,PURB,OR5AK2,LOC105370333
PLEK,SNX16,NNT,LOC102724301,LINC01300,PUS3,OR5AN1,LOC105370687
PLEKHA1,SNX18,NNT-AS1,LOC102724378,LINC01305,PWRN4,OR5AR1,LOC105370943
PLEKHA3,SOAT2,NOA1,LOC102724467,LINC01312,PWWP2A,OR5B2,LOC105371267
PLEKHA5,SOCS4,NOG,LOC102724532,LINC01317,PXMP4,OR5B21,LOC105371430
PLEKHA8P1,SOD3,NOMO1,LOC102724593,LINC01322,PXT1,OR5D13,LOC105371485
PLEKHB1,SON,NOS2,LOC102724719,LINC01324,PYCARD-AS1,OR5E1P,LOC105371592
PLEKHF2,SOX21,NOS3,LOC102725072,LINC01340,PYGO1,OR5H6,LOC105371907
PLEKHG1,SP100,NPAS4,LOC103344931,LINC01341,PYROXD1,OR5J2,LOC105371925
PLG,SP2-AS1,NPEPPS,LOC103611081,LINC01344,PYY,OR5K1,LOC105371998
PLGRKT,SP3,NPFFR2,LOC103908605,LINC01347,PYY2,OR5K2,LOC105372631
PLIN1,SPACA3,NPHS1,LOC103908605.1,LINC01352,QRICH1,OR5K3,LOC105373021
PLK3,SPAG1,NPIPA1,LOC104968399,LINC01362,R3HCC1L,OR5M11,LOC105373159
PLOD2,SPAG17,NPIPA2,LOC105274304,LINC01378,RAB11A,OR5M8,LOC105373311
PLPBP,SPAG5-AS1,NPIPA2.1,LOC105369306,LINC01391,RAB11B-AS1,OR5M9,LOC105374042
PLPP6,SPAG8,NPIPA3,LOC105369332,LINC01393,RAB11FIP2,OR5P2,LOC105374338
PLPPR2,SPANXC,NPIPA3.1,LOC105369340,LINC01398,RAB12,OR5R1,LOC105375690
PLS1,SPATA17,NPIPA5,LOC105369391,LINC01399,RAB21,OR5T2,LOC105376805
PLXNA4,SPATA31D3,NPIPB12,LOC105370333,LINC01410,RAB24,OR5W2,LOC105379511
PLXNC1,SPATA31D5P,NPIPB12.1,LOC105370489,LINC01414,RAB33B,OR6A2,LOC108783654
PMS1,SPATA33,NPIPB13,LOC105371083,LINC01416,RAB35,OR6B3,LOC110117498-PIK3R3
PNLIPRP1,SPATA45,NPIPB15,LOC105371267,LINC01425,RAB3D,OR6C1,LOC112268105
PNMA8B,SPATA5L1,NPIPB3,LOC105371414,LINC01435,RAB40B,OR6C2,LOC112268114
PNPLA4,SPCS3,NPIPB5,LOC105371849,LINC01436,RAB4B-EGLN2,OR6C3,LOC112268124
PNPLA8,SPDEF,NPLOC4,LOC105372440,LINC01440,RAB5A,OR6C6,LOC112268140
POC1B,SPDYE11,NPPA-AS1,LOC105372483,LINC01443,RAB5C,OR6C65,LOC112694756
POC5,SPDYE11.1,NPTX1,LOC105373156,LINC01447,RAB6A,OR6C68,LOC145783
POGZ,SPDYE11.2,NPTXR,LOC105373159,LINC01450,RABEP2,OR6C70,LOC150051
POLB,SPDYE11.3,NPY4R,LOC105374042,LINC01455,RABGEF1,OR6C75,LOC150776
POLI,SPDYE11.4,NPY4R2,LOC105374338,LINC01461,RABIF,OR6C76,LOC151484
POLN,SPESP1,NPY6R,LOC105374454,LINC01467,RAD21,OR6F1,LOC254896
POLQ,SPG11,NR0B2,LOC105374727,LINC01474,RAD52,OR6J1,LOC283028
POLR2A,SPHAR,NR1I2,LOC105374988,LINC01483,RAD54L,OR6K2,LOC284395
POLR2J,SPHK2,NR2C2,LOC105375401,LINC01498,RAET1E,OR6K6,LOC285095
POLR2J2,SPINK4,NR4A1,LOC105375690,LINC01500,RAET1E-AS1,OR6N2,LOC286437
POLR2M,SPINK5,NR5A1,LOC105376453,LINC01507,RAG1,OR6Q1,LOC341056
POLR3B,SPOCK2,NR6A1,LOC105377102,LINC01510,RALY,OR6V1,LOC344967
POM121,SPRED3,NRBP2,LOC105377621,LINC01511,RAMAC,OR6Y1,LOC388813
POM121C,SPTY2D1,NRDC,LOC105377623,LINC01514,RAP1B,OR7A5,LOC389641
POMK,SPTY2D1OS,NRG2,LOC105378230,LINC01516,RAP1GDS1,OR7C1,LOC391322
PON2,SRFBP1,NRGN,LOC106660606,LINC01522,RAPH1,OR7E14P,LOC392196
PON3,SRGAP2C,NRN1,LOC107984236,LINC01526,RAPSN,OR7E91P,LOC400706
POT1,SRP14,NRROS,LOC107985184,LINC01530,RASGEF1A,OR7G1,LOC400940
POU4F1,SRP54-AS1,NRSN2,LOC107986876,LINC01535,RASSF8-AS1,OR7G2,LOC401127
PPARA,SRP9,NRXN2,LOC108783654,LINC01554,RB1CC1,OR7G3,LOC403312
PPARGC1A,SRR,NSMAF,LOC110117498-PIK3R3,LINC01563,RBBP6,OR8A1,LOC403323
PPEF1,SRRT,NSUN4,LOC112268114,LINC01566,RBM14,OR8B12,LOC440173
PPFIA1,SRSF1,NT5E,LOC112694756,LINC01572,RBM19,OR8B2,LOC554206
PPHLN1,SRSF10,NTF3,LOC145474,LINC01579,RBM22,OR8B3,LOC642648
PPIG,SRSF11,NTMT1,LOC145783,LINC01580,RBM24,OR8D1,LOC643406
PPIL2,SRSF5,NTN3,LOC150051,LINC01583,RBM25,OR8D2,LOC644554
PPIL4,SRSF8,NTRK1,LOC150776,LINC01589,RBM27,OR8G2P,LOC644936
PPIP5K1,SSBP3-AS1,NUCB1,LOC153910,LINC01594,RBM28,OR8H1,LOC646548
PPIP5K1P1-CATSPER2,SSH2,NUDT13,LOC155060,LINC01602,RBM39,OR8J1,LOC646903
PPIP5K2,SSR1,NUDT4,LOC171391,LINC01605,RBM4,OR8K1,LOC652276
PPM1A,SSSCA1-AS1,NUDT4P2,LOC200772,LINC01605.1,RBM42,OR8K3,LOC653653
PPM1E,SST,NUDT6,LOC254896,LINC01608,RBM48,OR8K5,LOC727896
PPP1CB,SSX1,NUMBL,LOC283045,LINC01611,RBM5,OR8S1,LOC728554
PPP1R10,SSX2,NUP188,LOC283387,LINC01612,RBM6,OR9I1,LOC728673
PPP1R12A,SSX2.1,NUP205,LOC285095,LINC01615,RBM7,OR9Q2,LOC728743
PPP1R14C,SSX2B,NUP50,LOC285593,LINC01620,RBMX,OSBPL11,LOC729291
PPP1R35,SSX2B.1,NUP50-DT,LOC285819,LINC01626,RBMXL3,OSGEP,LOC729603
PPP1R3A,SSX3,NUP62CL,LOC344967,LINC01637,RBMY1B,OTC,LOC729683
PPP1R3D,SSX6P,NUPR1,LOC388813,LINC01644,RBMY1B.1,OTOF,LOC729870
PPP1R9B,SSX8P,NUPR2,LOC389641,LINC01645,RBMY1B.2,OTOP2,LOC93622
PPP2R5B,ST18,NUS1,LOC389906,LINC01664,RBMY1B.3,OTUD1,LONP1
PPP2R5C,ST7-AS2,NUTM2G,LOC391322,LINC01671,RBMY2FP,OVGP1,LOX
PPP2R5D,ST7-AS2.1,NXF2B,LOC392232,LINC01677,RBP7,OVOL1,LOXL3
PPP3CA,ST8SIA5,NXF2B.1,LOC400464,LINC01684,RBPJL,OVOS,LPAR2
PPP3CB,STAG3L1,NXN,LOC401261,LINC01706,RBPMS-AS1,OXTR,LPAR3
PPP4R4,STAG3L1.1,NXPH3,LOC403323,LINC01707,RC3H2,P2RX5-TAX1BP3,LPAR5
PPP6C,STAG3L2,NYX,LOC440173,LINC01722,RCL1,P2RY10,LPAR6
PPP6R1,STAG3L3,OAS2,LOC441242,LINC01743,RDH13,P2RY2,LPGAT1-AS1
PPRC1,STAG3L5P,OAZ1,LOC554206,LINC01748,RDH8,P2RY4,LPIN3
PPY,STAG3L5P-PVRIG2P-PILRB,OAZ3,LOC642484,LINC01758,RECQL4,P2RY6,LPL
PQLC3,STARD9,OBSCN-AS1,LOC642943,LINC01763,REG1CP,P4HA3,LPO
PRAC1,STAU2-AS1,OCLN,LOC643072,LINC01783,REG3A,PABPC3,LPP
PRAMEF27,STIL,ODAM,LOC644189,LINC01792,RELB,PACRG-AS3,LRATD1
PRAMEF27.1,STIM1,ODF3B,LOC644215,LINC01798,REM1,PACSIN3,LRBA
PRAMEF27.2,STK17B,ODR4,LOC644554,LINC01799,REN,PAGE1,LRCH2
PRAMEF27.3,STOM,OGDH,LOC644634,LINC01800,RESF1,PAGE2,LRFN2
PRC1,STPG2-AS1,OGN,LOC644656,LINC01807,REST,PAGE5,LRFN3
PRCC,STPG3-AS1,OGT,LOC645485,LINC01812,REV3L,PAK3,LRFN4
PRDM10,STRN,OLR1,LOC645967,LINC01815,REXO4,PAK4,LRP1
PRDM2,STX11,OMD,LOC646903,LINC01817,RFC1,PAN3-AS1,LRP11
PRDM4,STX16-NPEPL1,OPA1-AS1,LOC648987,LINC01821,RFC3,PANK3,LRP3
PRELID2,STX1B,OPA3,LOC652276,LINC01833,RFK,PANX2,LRP5L
PREP,STX5,OPN3,LOC653160,LINC01838,RFPL2,PAPOLB,LRP8
PREPL,STXBP5L,OPN4,LOC692247,LINC01841,RFTN2,PAPPA2,LRRC2
PRG3,STYX,OPRD1,LOC728673,LINC01843,RGMB,PAQR3,LRRC3
PRICKLE2,SUB1,OPRK1,LOC728715,LINC01844,RGPD3,PAQR6,LRRC34
PRICKLE2-AS1,SUGP1,OPRL1,LOC728739,LINC01847,RGR,PAQR9-AS1,LRRC37A11P
PRICKLE2-AS3,SUGT1P3,OR10K2,LOC728743,LINC01848,RGS10,PARG,LRRC37A4P
PRIM2,SULT1B1,OR11H6,LOC728975,LINC01852,RGS8,PARP10,LRRC41
PRIMPOL,SULT1C3,OR13A1,LOC729218,LINC01877,RHBDL2,PARP3,LRRC47
PRKACA,SULT2A1,OR13C9,LOC729737,LINC01880,RHBG,PARVA,LRRC53
PRKAG2-AS1,SULT6B1,OR1C1,LOC729966,LINC01894,RHEBL1,PATE2,LRRC56
PRKAR1A,SUMO1P1,OR1J1,LOC729970,LINC01895,RHOXF1,PAX2,LRRC58
PRKAR2A,SUMO1P3,OR1J2,LOC730098,LINC01924,RHOXF2,PAX4,LRRC69
PRKAR2B,SUPT4H1,OR2C1,LOC730100,LINC01929,RHOXF2.1,PAX7,LRRC73
PRKCG,SUPT5H,OR2C3,LOC730183,LINC01931,RIC8A,PAX8-AS1,LRRC75B
PRKG2,SUPT6H,OR2D2,LOC93622,LINC01932,RIMBP3,PCAT14,LRRC9
PRKRA,SURF6,OR2L5,LOX,LINC01946,RIPPLY1,PCBD2,LRRFIP1
PRMT9,SUSD1,OR2T2,LOXL1-AS1,LINC01962,RIPPLY2,PCDH12,LRRN1
PROSER1,SUZ12,OR2T27,LOXL2,LINC01968,RLIM,PCDH17,LRRN2
PROSER2,SYCP1,OR2Z1,LOXL3,LINC01969,RLN3,PCDHA6,LRRTM3
PROSER3,SYF2,OR4K14,LPAR2,LINC01976,RNASE10,PCDHB19P,LRSAM1
PROX1,SYN1,OR4K2,LPAR3,LINC01993,RNASE12,PCDHB4,LSAMP
PRPF3,SYS1-DBNDD2,OR4N2,LPAR4,LINC02003,RNASEH2C,PCDHB6,LSM10
PRPF40A,SYT10,OR4N4,LPAR6,LINC02009,RNASEL,PCDHB9,LSM14A
PRPS2,SYTL5,OR51B4,LPIN3,LINC02026,RNF11,PCDHGA1,LSM2
PRR16,TAAR8,OR51G1,LPL,LINC02041,RNF113A,PCDHGA5,LSM4
PRRC1,TAF11,OR51H1,LPO,LINC02046,RNF113B,PCDHGA6,LSM5
PRSS1,TAF13,OR51I1,LPP,LINC02050,RNF121,PCDHGA8,LSM7
PRSS22,TAF1B,OR51J1,LPXN,LINC02055,RNF125,PCDHGB8P,LSM8
PRSS27,TAF1C,OR52A5,LRBA,LINC02059,RNF126P1,PCDHGC5,LSP1
PRSS33,TAF7,OR52B6,LRCH2,LINC02060,RNF138,PCED1B,LSR
PRSS3P2,TAF7L,OR52E4,LRFN3,LINC02071,RNF139-AS1,PCED1B-AS1,LTBP3
PRTN3,TAF9,OR52E5,LRFN4,LINC02072,RNF151,PCSK6,LTBP4
PRUNE1,TAFA3,OR52I1,LRFN5,LINC02073,RNF152,PCSK7,LTBR
PRUNE2,TAL1,OR52L1,LRP1,LINC02080,RNF168,PCYT2,LUC7L
PSD3,TAP2,OR52Z1,LRP10,LINC02085,RNF19B,PDCL2,LURAP1
PSG10P,TARDBP,OR5B2,LRP11,LINC02087,RNF207,PDE6A,LXN
PSG11,TARM1,OR5H14,LRP8,LINC02092,RNF222,PDE6D,LY6H
PSG8-AS1,TAS1R1,OR5K3,LRR1,LINC02102,RNF227,PDGFRA,LY75
PSIP1,TAS2R14,OR5M11,LRRC2,LINC02105,RNF25,PDS5A,LY75-CD302
PSMA2,TATDN2,OR6C1,LRRC20,LINC02124,RNF4,PDS5B,LY96
PSMA5,TBC1D12,OR6J1,LRRC23,LINC02149,RNGTT,PDSS1,LYNX1-SLURP2
PSMD10,TBC1D3,OR6K2,LRRC37A4P,LINC02150,RNMT,PDXDC2P-NPIPB14P,LYPLA1
PSMD9,TBC1D3.1,OR7C2,LRRC41,LINC02153,RNPS1,PDXK,LYRM2
PTGFRN,TBC1D3C,OR7E156P,LRRC47,LINC02159,RNU5B-1,PDZD9,LYRM4
PTK6,TBC1D3C.1,OR7G3,LRRC56,LINC02171,RNU6ATAC,PDZRN4,LYRM4-AS1
PTN,TBC1D3E,OR8D2,LRRC73,LINC02175,RO60,PEG13,LYRM9
PTPN1,TBC1D3E.1,OR8H3,LRRC75B,LINC02197,RORB,PEG3,LYSMD2
PTPN13,TBC1D3F,ORAI1,LRRC9,LINC02198,RP9,PEMT,LYSMD4
PTPN2,TBC1D3F.1,OS9,LRRCC1,LINC02204,RP9P,PERM1,LZTFL1
PTPN21,TBC1D3F.2,OTOR,LRRN1,LINC02205,RPA4,PERP,LZTR1
PTPN3,TBC1D3F.3,OTUB2,LRRTM3,LINC02207,RPARP-AS1,PEX14,LZTS2
PTPRG,TBC1D3H,OTUD6B,LRSAM1,LINC02209,RPE65,PEX26,LZTS3
PTPRG-AS1,TBC1D3H.1,OVCA2,LRTM2,LINC02210,RPF1,PEX7,M6PR
PTPRH,TBC1D3H.2,OVCH1-AS1,LSAMP,LINC02212,RPF2,PFKFB1,MAATS1
PTPRK,TBC1D3H.3,OVGP1,LSM2,LINC02220,RPGRIP1,PFKFB4,MAB21L4
PTPRN2,TBC1D3I,OVOL1,LSM3,LINC02225,RPL10,PFKL,MACF1
PTPRQ,TBC1D3L,OXER1,LSM4,LINC02226,RPL10L,PFKP,MACROD1
PTPRR,TBC1D3L.1,OXGR1,LSM5,LINC02232,RPL13AP20,PFN3,MAD2L2
PTTG1,TBC1D3P1-DHX40P1,OXT,LSMEM2,LINC02236,RPL13AP6,PFN4,MAEA
PTTG3P,TBL1Y,OXTR,LSR,LINC02241,RPL18A,PGAM1P5,MAF1
PWP1,TBX1,P2RX7,LSS,LINC02243,RPL21P44,PGAM5,MAG
PXK,TBX15,P2RY12,LTBP3,LINC02245,RPL23A,PGBD2,MAGED1
PXYLP1,TBX18,P2RY13,LTC4S,LINC02255,RPL23AP32,PGC,MAGED2
PYGO2,TCAF2,P2RY14,LUC7L,LINC02259,RPL23AP53,PGF,MAGEE1
QKI,TCEA3,P2RY2,LURAP1L,LINC02262,RPL23AP64,PGK2,MAGEF1
QSOX2,TCEAL9,P2RY4,LXN,LINC02278,RPL23AP7,PGM2,MAGEH1
R3HDM4,TCEANC2,P2RY6,LY6E,LINC02299,RPL28,PGP,MAGEL2
RAB20,TCF23,P4HB,LY6G5B,LINC02301,RPL30,PHETA1,MAGI1
RAB22A,TCF24,PABPC1,LY6G5C,LINC02302,RPL31P11,PHKA1,MAGOHB
RAB23,TCHH,PABPC1P2,LY6H,LINC02310,RPL32P3,PHKA2-AS1,MAGT1
RAB27B,TCP10L2,PACRG-AS3,LY75,LINC02313,RPL34-AS1,PHKG2,MAIP1
RAB28,TCTE3,PACSIN1,LY96,LINC02315,RPL36A-HNRNPH2,PHLDA3,MAL2
RAB29,TDRG1,PACSIN3,LYNX1-SLURP2,LINC02329,RPL7,PHLDB2,MALL
RAB30,TEDDM1,PAFAH1B1,LYPD6B,LINC02347,RPLP0P2,PHLDB3,MAMDC2
RAB3A,TEF,PAGE1,LYPLA1,LINC02348,RPP14,PHYKPL,MAML1
RAB3GAP1,TEFM,PAGE2,LYPLA2,LINC02351,RPP25,PI16,MAML2
RAB3GAP2,TEKT4P2,PAGE4,LYRM1,LINC02355,RPP38,PI3,MAN1B1
RAB5B,TENT5A,PAGE5,LYRM2,LINC02361,RPRD1A,PI4KA,MAN1B1-DT
RAB6D,TEP1,PAK3,LYRM4,LINC02365,RPRD1B,PI4KAP1,MAN2A1
RABEP1,TEPP,PANK3,LYRM4-AS1,LINC02367,RPRML,PIGB,MAN2B1
RABGAP1,TERC,PANK4,LYSMD2,LINC02392,RPS10,PIGR,MAN2C1
RAC2,TERF2IP,PANTR1,LYVE1,LINC02405,RPS13,PIGY,MANBA
RAD17,TESK2,PAPPA2,LZTR1,LINC02408,RPS19,PIK3R5,MAOA
RAD50,TESPA1,PAQR3,LZTS2,LINC02410,RPS25,PIK3R6,MAOB
RAD51AP1,TEX101,PAQR4,LZTS3,LINC02415,RPS27,PILRA,MAP10
RAD51L3-RFFL,TEX12,PAQR6,M6PR,LINC02420,RPS29,PILRB,MAP1B
RAD54B,TEX13C,PAQR8,MAB21L4,LINC02427,RPS3A,PIN4,MAP2
RAD54L2,TEX22,PARD6B,MACC1-AS1,LINC02429,RPS5,PINK1,MAP2K4
RAD9B,TEX37,PARD6G-AS1,MACF1,LINC02443,RPS6,PIP4K2B,MAP3K14
RADIL,TEX45,PARM1,MACROD1,LINC02449,RPS6KB2,PIR,MAP3K21
RAET1G,TEX46,PAX1,MAD2L2,LINC02459,RPSAP58,PIR-FIGF,MAP3K7
RAI14,TEX49,PAX5,MADCAM1,LINC02465,RPSAP9,PIRT,MAP4K4
RALA,TFAM,PAX6-AS1,MAEA,LINC02487,RREB1,PISRT1,MAP7
RALGPS2,TFAP2A-AS2,PAX8-AS1,MAF,LINC02490,RRM2,PITPNC1,MAP7D3
RALYL,TFAP2C,PAXX,MAF1,LINC02517,RRP12,PITPNM2,MAPK13
RANBP9,TFB2M,PBX4,MAFA-AS1,LINC02518,RRP7BP,PITX2,MAPK14
RAP2B,TFCP2,PBXIP1,MAFTRR,LINC02523,RRP8,PITX3,MAPK15
RAPGEF6,TFIP11,PCA3,MAGEB17,LINC02526,RRP9,PJVK,MAPK1IP1L
RARB,TFPT,PCAT14,MAGED1,LINC02546,RRS1,PKD1L1,MAPK3
RASA1,TGFB2,PCAT5,MAGED2,LINC02547,RSAD2,PKD2L2,MAPK6
RASA3,TGFB2-AS1,PCBP2-OT1,MAGEF1,LINC02568,RSBN1L,PKDREJ,MAPK8IP1
RASEF,TGOLN2,PCBP3,MAGEH1,LINC02575,RSL24D1,PKP2,MAPKAPK3
RASGRP4,TGS1,PCDH17,MAGEL2,LINC02578,RSPH10B,PKP3,MARCKSL1
RASL11A,THAP1,PCDHB6,MAGI1-AS1,LINC02580,RSPH10B.1,PLA2G12B,MARK1
RASSF3,THAP11,PCDHGA4,MAGOH2P,LINC02582,RSPO1,PLA2G2D,MARS
RASSF5,THAP12,PCDHGA5,MAGOHB,LINC02586,RSRC2,PLA2G4B,MARVELD2
RAVER1,THAP6,PCDHGB6,MAGT1,LINC02593,RSRP1,PLAC4,MARVELD3
RAVER2,THCAT158,PCDHGC5,MAIP1,LINC02603,RTBDN,PLAC8,MAST1
RB1,THEGL,PCED1B-AS1,MAL2,LINC02607,RTF1,PLAC8L1,MATK
RBAKDN,THSD4-AS2,PCF11-AS1,MALL,LINC02608,RTF2,PLBD1,MATN3
RBBP5,THUMPD3-AS1,PCGF2,MAMDC2,LINC02611,RTN4RL1,PLCB4,MAU2
RBBP7,TIA1,PCNT,MAN1B1,LINC02613,RUFY2,PLCD1,MAVS
RBBP8,TIAL1,PCNX1,MAN2C1,LINC02617,RUNX2,PLEC,MAZ
RBL2,TICAM2,PCNX3,MANBAL,LINC02618,RUSC1-AS1,PLEKHA1,MB
RBM11,TIGAR,PCP2,MANF,LINC02627,RUSC2,PLEKHA4,MBLAC2
RBM12B,TIGD4,PCSK4,MAOA,LINC02648,RWDD4,PLEKHA6,MBOAT1
RBM17,TIGD6,PCSK6,MAOB,LINC02653,RXFP2,PLEKHF1,MBTPS2
RBM18,TIMM10B,PCSK6-AS1,MAP1B,LINC02671,RXFP3,PLEKHS1,MC1R
RBM20,TIMM23B,PCSK7,MAP1LC3A,LINC02688,RYBP,PLET1,MCEE
RBM22,TIMM8A,PCYOX1,MAP2K5,LINCADL,S1PR4,PLIN2,MCF2L
RBM26,TIPIN,PDCD11,MAP3K14-AS1,LINGO2,SAC3D1,PLK5,MCF2L-AS1
RBM27,TLCD2,PDCD1LG2,MAP3K21,LINGO3,SAFB,PLOD2,MCFD2
RBM33,TLK2,PDCD6IP,MAP3K7,LIPA,SAG,PLPP1,MCHR1
RBM38,TLR8,PDCL2,MAP4,LIPE,SAGE1,PLPP3,MCM3AP-AS1
RBM46,TM4SF1-AS1,PDCL3P4,MAP4K4,LIPE-AS1,SAMD8,PLSCR4,MCM4
RBM4B,TMBIM6,PDE4C,MAP6,LIPI,SAMD9L,PLSCR5,MCM5
RC3H1,TMCO1,PDGFRA,MAP7D3,LIPM,SAP18,PLXNA2,MCM6
RCAN1,TMCO5B,PDHA1,MAPK13,LIVAR,SAP30L,PMAIP1,MCM7
RCAN2,TMED10P1,PDS5A,MAPK15,LIX1,SAR1A,PMCH,MCOLN3
RCBTB2,TMED7-TICAM2,PDSS2,MAPK6-DT,LLCFC1,SATB2,PMF1-BGLAP,MCRIP1
RCOR1,TMEM126A,PDXK,MAPK8IP1,LLGL2,SATB2-AS1,PMFBP1,MCU
RDH10,TMEM139,PEG13,MAPKAPK3,LMBR1,SAXO2,PMP2,MDFI
RDX,TMEM159,PEG3,MARCKSL1,LMBRD1,SBDS,PMP22,MDFIC
REEP2,TMEM167A,PEMT,MARS,LMBRD2,SBDSP1,PMS2P4,MDGA1
REL,TMEM167B,PERM1,MARS2,LMF1,SBNO1,PNPO,MDH1B
REPS2,TMEM174,PEX16,MARVELD1,LMF1-AS1,SBSN,PNPT1,MDH2
RERE,TMEM184C,PFDN6,MARVELD3,LMO1,SCAF11,PODNL1,MDN1
REREP3,TMEM185A,PFKFB4,MASP1,LMO7,SCAF4,POFUT2,MDP1
RERG,TMEM208,PFKL,MAST1,LMO7-AS1,SCAND2P,POLDIP2,ME1
RERG-AS1,TMEM209,PFKP,MAT2A,LMOD3,SCARF2,POLR2H,ME2
RESF1,TMEM234,PGAM4,MATN3,LNPEP,SCARNA28,POMC,MEA1
RETREG1,TMEM236,PGAM5,MATN4,LNX1-AS2,SCARNA5,POPDC2,MEAK7
REV1,TMEM236.1,PGC,MAVS,LOC100049716,SCARNA9L,POTEG,MED14OS
REXO1,TMEM238,PGF,MB,LOC100128164,SCGB2B3P,POU3F4,MED22
REXO2,TMEM251,PGK2,MBLAC2,LOC100128239,SCML2,POU5F2,MED24
RFC1,TMEM254-AS1,PGM1,MBOAT1,LOC100128317,SCN1B,PP12613,MED28
RFESD,TMEM263,PGM2,MBOAT7,LOC100128340,SCNM1,PPARG,MED29
RFFL,TMEM267,PGR,MBTPS2,LOC100128993,SCNN1B,PPARGC1B,MEDAG
RGS16,TMEM269,PHB,MCCC2,LOC100129055,SCOC-AS1,PPCS,MEF2B
RGS2,TMEM30A,PHETA1,MCF2L-AS1,LOC100129083,SCRT1,PPFIA2-AS1,MEGF10
RGS7,TMEM31,PHF24,MCFD2,LOC100129129,SCTR,PPFIA4,MEGF8
RHBDD1,TMEM41B,PHIP,MCHR1,LOC100129203,SDAD1,PPFIBP1,MEIG1
RHBDL2,TMEM56-RWDD3,PHKA1,MCM4,LOC100130027,SDAD1P1,PPIAL4G,MEIS1-AS3
RHEBL1,TMEM68,PHKA1-AS1,MCM5,LOC100130075,SDF4,PPIAL4H,MELTF
RHOBTB2,TMEM71,PHKG1,MCM6,LOC100130172,SDHAF1,PPID,MEMO1
RHOBTB3,TMEM75,PHKG2,MCM7,LOC100130238,SDHAF3,PPIE,MEPE
RHOT1,TMEM92,PHLDA2,MCRIP1,LOC100130264,SDHAP1,PPIP5K2,MET
RHPN2,TMEM99,PHLDA3,MCRS1,LOC100130331,SDR16C5,PPM1B,METAP1
RIOK1,TMIGD3,PHLDB2,MCU,LOC100130587,SEC24B,PPP1CB,METAP1D
RIOK2,TMOD4,PHLDB3,MDC1,LOC100130673,SEC24B-AS1,PPP1R13L,METTL18
RIOX2,TMPO,PHOSPHO2-KLHL23,MDFIC,LOC100130691,SEC61A1,PPP1R14A,METTL23
RIPK3,TMPRSS11A,PHOX2A,MDH1,LOC100130698,SEC61A2,PPP1R14B,METTL25
RIPOR2,TMPRSS11B,PHPT1,MDH1B,LOC100130849,SELENOM,PPP1R15B,METTL26
RIPOR3,TMTC1,PHYKPL,MDK,LOC100130992,SELENOS,PPP1R21,METTL27
RIT2,TMUB2,PI15,MDN1,LOC100132781,SELPLG,PPP1R27,METTL2A
RMC1,TMX2-CTNND1,PI16,MDP1,LOC100134391,SEMA3B,PPP1R2C,METTL2B
RMI1,TNFAIP8L2,PI4KA,ME2,LOC100144595,SEMA3C,PPP1R32,METTL3
RMND5A,TNFAIP8L2-SCNM1,PI4KAP1,MEA1,LOC100240734,SEMA5A-AS1,PPP1R3E,METTL5
RN7SL2,TNFRSF19,PI4KAP2,MEAK7,LOC100268168,SENCR,PPP1R8,METTL7A
RNF10,TNFSF9,PIFO,MECR,LOC100287387,SENP3,PPP2R3A,METTL7B
RNF111,TNNC2,PIGB,MED14OS,LOC100287837,SENP5,PPP2R5A,METTL8
RNF135,TNNI3,PIGG,MED22,LOC100288123,SENP7,PPP3CB-AS1,MEX3A
RNF14,TNRC18P1,PIGL,MED24,LOC100288846,SEPT7P2,PPP4R2,MFAP2
RNF144B,TOMM20L,PIGR,MED27,LOC100288866,SERINC1,PPY2P,MFAP4
RNF145,TOMM5,PIK3R5,MED9,LOC100289561,SERPINA1,PRDM1,MFGE8
RNF150,TOP3A,PINK1,MEGF6,LOC100289580,SERPINA13P,PRDM11,MFRP
RNF157,TOPORS,PINK1-AS,MEIS3P1,LOC100419170,SERPINA3,PRDX1,MFSD3
RNF170,TOR1AIP2,PIR,MESD,LOC100499194,SERPINA9,PREB,MFSD6L
RNF180,TOR1B,PIR-FIGF,MEST,LOC100505588,SERPINE2,PRELP,MFSD9
RNF19A,TOX4,PITPNC1,METAP1,LOC100505622,SERTAD1,PRF1,MGAT4C
RNF20,TP53BP2,PITPNM2,METAP1D,LOC100505715,SERTAD3,PRH1-PRR4,MGC16275
